abaca	абака
utmost	самый отдаленный
Utopia	утопия
Utopian	утопический
utricle	перепончатый мешочек ушного лабиринта
utter	издавать (звук)
utterance	выражение в словах
utterly	крайне
uvula	язычок
uvular	язычковый
uxorious	очень или слишком любящий свою жену
Uzbek	узбекский
Uzbekistan	Узбекистан
vacancy	пустота
vacant	пустой
vacantly	бессмысленно
vacate	освобождать
vacation	оставление
vacationer	отпускник
vacationist	отдыхающий
vaccinate	прививать оспу (тж. to vaccinate smb. against/with smallpox)
vaccination	прививка оспы
vaccine	вакцина
vaccinia	коровья оспа
vacillate	колебаться
vacillating	колеблющийся
vacillation	колебание
vacuity	отсутствие мысли
vacuous	пустой (преим. перен.)
vacuum	вакуум
vacuum-gauge	вакуумметр
vacuum-pump	вакуум-насос
vacuum-tube	электронная лампа
vade-mecum	карманный справочник
Vaduz	г. Вадуц
vagabond	бродяга
vagabondage	бродяжничество
vagabondism	бродяжничество
vagabondize	скитаться
vagarious	капризный
vagary	каприз
vagina	влагалище
vaginal	влагалищный
vagrancy	бродяжничество
vagrant	бродяга
vague	неопределенный
vaguely	неясно
vagueness	неопределенность
vail	склонять (оружие , знамена)
vain	тщетный
vainglorious	тщеславный
vainglory	тщеславие
vainly	напрасно
vakeel	представитель
vakil	представитель
valance	подзор (у кровати)
vale	дол
valediction	прощание
valedictorian	студент-выпускник
valedictory	прощальная речь
Valencia	г. Валенсия
Valenciennes	валансьенские кружева
valency	валентность
Valentine	Валентин
valentine	возлюбленный
valerian	валериана
valeric	valeric acid
valet	слуга
valetudinarian	болезненный
valetudinarianism	болезненность
Valhalla	Валгалла
valiancy	храбрость
valiant	храбрый
valid	действительный
validate	утверждать
validation	утверждение
validity	действительность
valise	саквояж
Valletta	г. Валлетта
valley	долина
valorize	устанавливать цены путем государственных мероприятий
valorous	доблестный brave
valour	доблесть
Valparaiso	г. Вальпараисо
valuable	ценный
valuation	оценка (имущества)
value	ценность
valued	ценный
valueless	ничего не стоящий
valuer	оценщик
valuta	валюта
valve	клапан
vamoose	уходить
vamose	уходить
vamp	передок (ботинка)
vampirism	вера в вампиров
van	of vanguard авангард
vanadium	ванадий
Vancouver	г. Ванкувер
vandal	вандал
vandalism	вандализм
vandalize	бесчинствовать
Vandyke	бородка клином (тж. Vandyke beard)
vane	флюгер
vanguard	головной отряд
vanilla	ваниль
vanillin	ванилин
vanish	исчезать
vanishing	исчезающий
vanishing-line	линия схода (параллельных плоскостей)
vanishing-point	точка схода (параллельных линий)
vanquish	побеждать
vanquisher	победитель
vantage	преимущество
vantage-ground	удобная
Vanuatu	Вануату
vapid	безвкусный
vapidity	безвкусность и пр. {см. vapid}
vaporescense	парообразование
vaporization	испарение
vaporize	испарять(ся)
vaporizer	испаритель
vaporous	парообразный
vapour	пар
vapourish	хвастливый
vapoury	туманный
varan	варан
Varangian	варяжский
variability	изменчивость
variable	изменчивый
variance	разногласие
variant	вариант
variation	изменение
varicella	ветряная оспа
varicoloured	разноцветный
varicose	расширенный
varied	различный
variegate	делать пестрым
variegated	разноцветный
variegation	пестрая раскраска
variform	имеющий различные формы
variola	оспа
variolate	прививать оспу
variometer	вариометр
variorum	издание с примечаниями различных комментаторов
various	различный
varnish	лак
varnishingday	день накануне открытия выставки (когда художники могут подправить картины , покрыть их лаком и т. п.)
varsity	университет
vary	менять(ся)
vascular	сосудистый
vase	ваза
vase-painting	вазовая живопись
vaseline	вазелин
vassal	вассал
vassalage	вассальная зависимость
vast	обширный
vastly	значительно
vat	чан
vatic	пророческий
Vatican	Ватикан
Vaticanism	догмат непогрешимости папы
vaticinate	пророчествовать
vaticination	пророчество
vaudeville	водевиль
vault	свод
vaulted	сводчатый
vaulting	возведение свода
vaulting-horse	гимнастический конь
vaunt	хвастовство
vavasour	подвассал
veal	телятина
vector	вектор
Veda	the Veda(s)
vedette	конный часовой
veer	перемена направления
veering	поворот
vegan	строгий вегетарианец
vegetable	овощ
vegetal	растительный
vegetarian	вегетарианец
vegetarianism	вегетарианство
vegetate	расти
vegetated	покрытый растительностью
vegetation	растительность
vegetative	растительный
veggie	вегетарианец
vehemence	сила
vehement	сильный
vehicle	перевозочное средство (автомобиль , вагон , повозка и т. п.)
vehicular	перевозочный
veil	покрывало
veiled	закрытый вуалью
veiling	вуаль
vein	вена
veined	испещренный жилками
veinstone	руда из жилы
velar	велярный
velarium	навес (над амфитеатром в древнем Риме)
vellum	тонкий пергамент
velocipede	трехколесный велосипед
velocity	скорость
velodrome	велодром
velours	велюр
velum	парус
velvet	бархат (тж. silk velvet)
velveteen	вельвет
velveting	изделия из бархата
velvety	бархатистый
vena	вена
venal	продажный
venality	продажность
venation	нервация
vend	продавать
vendee	покупатель
vendetta	вендетта
vending	продажа через торговые автоматы
veneer	шпон
venerable	почтенный
venerate	благоговеть (перед кем-л.) , чтить revere
veneration	благоговение
venerator	почитатель
venereal	сладострастный
venereologist	венеролог
venesection	вскрытие вены
Venetian	венецианский
Venezuela	Венесуэла
Venezuelan	венесуэльский
vengeance	месть
vengeful	мстительный
venial	простительный
Venice	г. Венеция
venire	предписание
venison	оленина
venom	яд (животного происхождения , особ. змеиный)
venomous	ядовитый
venose	жилковатый
vent	входное или выходное отверстие
vent-peg	втулка
vent-pipe	вытяжная труба
ventage	отдушина
venter	живот
ventiduct	вентиляционная труба
ventilate	проветривать
ventilation	проветривание
ventilator	вентилятор
ventral	брюшной
ventricle	желудочек (сердца , мозга)
ventriloquism	чревовещание
ventriloquist	чревовещатель
ventriloquize	чревовещать
venture	рискованное предприятие или начинание
venturer	предприниматель
venturesome	смелый
venue	судебный округ
Venus	Венера
veracious	правдивый
veracity	правдивость
verb	глагол
verbal	устный
verbalism	педантизм
verbalist	педант
verbalization	многословие
verbalize	быть многословным
verbally	устно
verbena	вербена
verbiage	многословие
verbose	многословный diffuse
verbosity	многословие
verdancy	зелень
verdant	зеленый
verdict	вердикт
verdigris	ярь-медянка (краска)
verdure	зелень
verdurous	заросший
verge	край
verger	жезлоносец (в процессиях)
veridical	правдивый (часто ирон.)
verifiable	поддающийся проверке
verification	проверка
verify	проверять
verily	истинно
verisimilar	правдоподобный
verisimilitude	правдоподобие
veritable	настоящий
verity	истина
verjuice	кислый сок (незрелых фруктов)
vermicelli	вермишель
vermiform	червеобразный
vermifuge	глистогонное средство
vermilion	киноварь
vermin	паразиты (клопы , вши и т. п.)
verminous	кишащий паразитами
Vermont	Вермонт
vernacular	народный
vernacularism	местное слово или выражение
vernal	весенний
vernalization	яровизация
vernation	листорасположение в почке
vernier	нониус
Veronese	веронский
Veronica	Вероника
veronica	вероника
verruca	бородавка
Versailles	г. Версаль
versatile	многосторонний
versatility	многосторонность и пр. {см. versatile}
verse	строфа
verse-monger	рифмоплет
versed	опытный
versicoloured	разноцветный
versification	стихосложение
versifier	версификатор poet
versify	писать стихи
version	версия
verso	левая страница раскрытой книги
versus	обыкн. против
vert	of convert or pervert
vertebra	позвонок
vertebral	позвоночный
vertebrate	позвоночное животное
vertex	вершина
vertical	вертикальный
verticil	мутовка
vertiginous	головокружительный
vertigo	головокружение
vervain	вербена
verve	живость и яркость (описания)
very	истинный
vesicant	нарывной
vesicate	нарывать
vesicle	пузырек
vesicular	пузырчатый
vesper-bell	вечерний звон
vespertine	вечерний
vespiary	осиное гнездо
vest	обыкн. жилет
vest-pocket	жилетный карман
vesta	Vesta Веста восковая спичка (тж. wax vesta)
vestal	весталка
vested	облаченный
vestibule	вестибюль
vestige	след
vestigial	остаточный
vestment	одеяние
vestry	ризница
vestry-clerk	приходский казначей (избираемый прихожанами)
vestryman	член приходского управления
vesture	одеяние
vestured	одетый
Vesuvius	Везувий
vet	of veterinary surgeon
vet.	veteran участник войны
vetch	вика
veteran	ветеран
veterinary	ветеринарный
veto	вето
vex	досаждать
vexation	досада
vexatious	сопряженный с неприятностями
vexed	раздосадованный
vexing	раздражающий
via	через
viable	жизнеспособный fecund
viaduct	виадук
vial	пузырек
viands	провизия
viatic	дорожный
viaticum	причастие
viator	путешественник
vibrant	вибрирующий
vibraphone	виброфон
vibrate	вибрировать
vibration	вибрация и пр. {см. vibrate}
vibrato	вибрато
vibrator	вибратор
vibratory	вибрирующий
vibrio	вибрион
viburnum	калина
vicar	приходский священник (не получающий десятины)
vicarage	должность приходского священника
vicarial	викарный
vicarious	замещающий другого
vice	порок
vice-	вице-
vice-admiral	вице-адмирал
vice-chairman	заместитель председателя
vice-chancellor	вице-канцлер
vice-consul	вице-консул
vice-governor	вице-губернатор
vice-minister	товарищ или заместитель министра
vice-president	вице-президент
vicegerent	наместник
vicennial	двадцатилетний (срок , период)
viceregal	вице-королевский
vicereine	супруга вице-короля
viceroy	вице-король
vicinage	соседство
vicinal	местный
vicinity	соседство
vicious	порочный
vicissitude	превратность
victim	жертва
victimization	преследование
victimize	делать своей жертвой
Victor	Виктор
victor	победитель
Victoria	Виктория (Австралия) г. Виктория
victoria	легкий двухместный экипаж
Victorian	викторианский (относящийся к эпохе королевы Виктории 1837-1901 гг.)
victorious	победоносный
victory	победа
victress	победительница
victual	обыкн. пища
victualler	поставщик продовольствия
victualling	снабжение продовольствием
victualling-yard	продовольственные склады (при доках)
vicugna	викунья
vicuna	викунья
vide	смотри
videlicet	viz.
video	телевидение
video-based	основанный на видеотехнике
video-tape	магнитная лента с записью изображения со звуковым сопровождением
videophone	видеотелефон
vidimus	официальная проверка документов
vie	соперничать
Vienna	г. Вена
Viennese	венский
Vientiane	г. Вьентьян
Viet-Namese	вьетнамский
Vietnam	Вьетнам
Vietnamese	вьетнамский
view	вид
view-finder	видоискатель
view-point	точка зрения
viewer	зритель (особ. телезритель)
viewless	невидимый
viewy	чудаковатый
vigesimal	разделенный на двадцать частей
vigil	бодрствование
vigilance	бдительность
vigilant	бдительный
vigilante	виджиланте
vignette	виньетка
vigogne	вигонь
vigorous	сильный
vigorously	сильно
vigour	сила
viking	викинг
Vila	г. (Порт) Вила
vilayet	вилайет
vile	подлый
vilification	поношение
vilify	поносить
vilipend	пренебрежительно отзываться (о ком-л.)
villa	вилла
village	деревня
villager	сельский житель
villainous	мерзкий
villainy	мерзость
villein	виллан
villeinage	крепостное состояние
Vilnius	г. Вильнюс
Vilnyus	г. Вильнюс
vim	энергия
vin-ordinaire	дешевое красное вино
vinaigrette	приправа из уксуса и оливкового масла к зеленому салату (тж. vinaigrette sauce)
Vincent	Винсент
vincible	преодолимый
vindicate	доказывать
vindication	доказательство
vindicator	защитник
vindicatory	защитительный
vindictive	мстительный
vine	виноградная лоза
vine-prop	шпалера
vinedresser	виноградарь
vinegar	уксус
vinegary	уксусный
vinery	виноградная теплица
vineyard	виноградник
vino	дешевое вино
vinous	винный
vintage	сбор или урожай винограда
vintager	сборщик винограда
vintner	виноторговец
vinyl	винил
viol	виола (муз. инструмент)
Viola	Виола
viola	альт (муз. инструмент) фиалка
violaceous	фиалковый
violate	нарушать
violation	нарушение и пр. {см. violate} crime
violator	нарушитель
violence	сила
violent	неистовый
violently	сильно
Violet	Виолетта
violet	фиалка
violin	скрипка (инструмент)
violinist	скрипач
viper	гадюка
viperous	ядовитый
virago	сварливая женщина
viral	вирусный
virginal	девственный
Virginia	Виргиния
virginity	девственность
Virgo	Дева (созвездие и знак зодиака)
viridity	зелень
virile	возмужалый
virility	мужество
virology	вирусология
virtu	articles of virtu
virtual	фактический
virtually	фактически
virtue	добродетель
virtuosity	виртуозность
virtuoso	виртуоз
virtuous	добродетельный
virulence	ядовитость
virulent	ядовитый
virus	вирус
vis-а-vis	визави
visa	виза
visage	лицо
viscera	внутренности (особ. кишки)
visceral	относящийся к внутренностям
viscose	вискоза
viscosity	вязкость
viscount	виконт
viscountess	виконтесса
viscous	вязкий
visibility	видимость
visible	видимый
visibly	явно
Visigoth	вестгот
vision	зрение
visional	зрительный
visionary	призрачный
visit	посещение
visitable	открытый для посетителей
visitant	гость
visitatorial	инспектирующий
visiting	посещающий
visiting-card	визитная карточка
visiting-day	приемный день
visiting-round	обход (караулов
visitor	посетитель
visor	козырек (фуражки)
vista	перспектива
Vistula	р. Висла
visual	зрительный
visualization	отчетливый зрительный образ
visualize	отчетливо представлять себе
vita	краткая автобиография
vital	жизненный
vitalism	витализм
vitality	жизнеспособность
vitalize	оживлять
vitally	to be vitally concerned
vitals	жизненно важные органы
vitamin	витамин
vitiate	портить
vitiation	порча
viticulture	виноградарство
vitreous	стекловидный
vitrification	превращение в стекло или в стекловидное вещество
vitrify	превращать(ся) в стекло или в стекловидное вещество
vitriol	купорос
vitriolic	купоросный
vituperate	бранить
vituperation	брань
vituperative	бранный
vivacious	живой
vivacity	живость
vivarium	виварий
Vivian	Вивьен
vivid	яркий
Vivien	Вивьен
vivify	оживлять
viviparous	живородящий
vivisect	подвергать вивисекции
vivisection	вивисекция
vixen	самка лисицы
vixenish	сварливый
viz	а именно
Vladivostok	г. Владивосток
vocable	вокабула
vocabulary	словарь
vocal	голосовой
vocalic	гласный
vocalist	вокалист
vocalization	применение голоса
vocalize	вокализировать
vocally	устно
vocals	пение
vocation	призвание
vocational	профессиональный
vocative	звательный
vociferate	кричать
vociferation	крик(и)
vociferous	громкоголосый
voder	электронный аппарат (воспроизводящий звучание , близкое к человеческой речи) , 'воудер'
vodka	водка
vogue	мода
voice	голос
voice-over	голос за кадром
voicecast	магнитная пленка с записью голоса (говорящего)
voiced	звонкий
voiceless	не имеющий голоса
void	пустота
voile	тонкая прозрачная ткань
volant	летающий
volatile	летучий
volatility	летучесть
volatilization	улетучивание
volatilize	улетучивать(ся)
volcanic	вулканический
volcano	вулкан
vole	полевка (мышь
volet	крыло триптиха
Volga	р. Волга
Volgograd	г. Волгоград
volition	волевой акт
volitional	волевой
volley	залп
volley-ball	волейбол
volplane	планирование (самолета)
voltage	вольтаж
voltaic	гальванический
Voltairian	вольтеровский
Voltairianism	вольтерьянство
voltameter	вольтаметр (в электрохимии)
volte	вольт (конный спорт)
volte-face	поворот кругом
voltmeter	вольтметр
volubility	говорливость
voluble	говорливый
volume	том
volumenometer	волюминометр (прибор для измерения объема твердых тел)
volumeter	волюметр (прибор для измерения объема жидких и газообразных тел)
volumetric	объемный
voluminous	многотомный (об издании)
voluntary	добровольный
voluntaryism	принцип
volunteer	доброволец
voluptuary	сластолюбец
voluptuous	чувственный
volute	волюта
volution	завиток
volvulus	заворот кишок
vomit	рвота
vomitory	рвотное (средство)
voodoo	вера в колдовство
voracious	прожорливый
voracity	прожорливость
vortex	водоворот
vortical	вихревой
votaress	почитательница
votary	почитатель
vote	голосование
voter	избиратель
voting	голосование
votive	исполненный по обету
vouch	ручаться
voucher	поручитель
vouchsafe	удостаивать
vow	обет
vowel	гласный (звук)
vox	голос
voyage	плавание
voyager	мореплаватель
voyeur	человек
voyeurism	половое извращение
voyeuristic	подглядывающий эротические сцены
vug	впадина
Vulcan	Вулкан
vulcanite	вулканизированная резина
vulcanization	вулканизация (резины)
vulcanize	вулканизировать (резину)
vulgar	грубый
vulgarian	вульгарный
vulgarism	вульгарность
vulgarity	вульгарность
vulgarization	опошление
vulgarize	опошлять
Vulgate	(the Vulgate) вульгата (латинский перевод библии IV в.)
vulnerability	уязвимость
vulnerable	уязвимый
vulnerary	целительный
vulpicide	охота на лисицу без гончих
vulpine	лисий
vulture	гриф (птица)
vulturous	хищный
vulva	вульва
wacko	сумасшедший
wacky	чокнутый
wad	кусок
wadding	вата
waddle	походка вперевалку
wade	переход вброд
wader	болотная птица
wafer	вафля
wafer-iron	вафельница
wafer-thin	очень тонкий
waff	легкое движение
waffle	вафля (пустая) болтовня , треп
waffle-iron	вафельница
waft	взмах (крыла)
wag	взмах
wage	обыкн. заработная плата
wage-cut	снижение заработной платы
wage-earner	(наемный) работник , рабочий
wage-freeze	замораживание заработной платы
wage-rate	ставка
wage-work	наемный труд
wager	пари
wages-fund	фонд заработной платы
waggery	шалость
waggish	шаловливый
waggle	помахивание
waggly	неустойчивый
wagon-lit	спальный вагон
wagon-train	обоз
wagtail	трясогузка
waif	никому не принадлежащая
wail	вопль
wailful	грустный
wain	телега
wainscot	деревянная стенная панель
waist	талия
waist-belt	поясной ремень
waist-deep	доходящий до пояса
waistband	пояс (юбки , брюк)
waistcoat	жилет
waistline	талия
wait	ожидание
wait-a-bit	колючий кустарник
wait-and-see	wait-and-see policy
waiting	ожидание
waiting-room	приемная
waitress	официантка
waive	отказываться (от права , требования
waiver	отказ от права
wake	просыпаться (тж. wake up)
wakeful	бодрствующий
wakeless	крепкий
waken	просыпаться
wakening	пробуждение
wakey	вставай!
wale	полоса
Wales	Уэльс
walk	ходьба
walk-on	артист 'на выходах'
walk-out	забастовка
walk-over	легкая победа
walk-up	квартира в доме без лифта
walkabout	пеший туризм
walkaway	легкая победа (в состязании)
walker	Walker врешь!
walkie-lookie	портативный телевизионный передатчик
walkie-talkie	переносная рация
walking	ходьба
walking-papers	увольнение с работы
walking-race	соревнования по спортивной ходьбе
walking-stick	трость
walking-tour	экскурсия пешком
Walkman	плейер
walkway	дорожка
wall	стена
wall-eye	бельмо
wall-eyed	с бельмом на глазу
wall-painting	настенная живопись
wall-to-wall	покрывающий весь пол (от стены до стены)
wallaby	кенгуру (малый)
Wallace	Уоллес
wallaroo	кенгуру (крупный)
wallcovering	обои
walled	обнесенный стеной
wallet	бумажник
wallflower	желтофиоль (садовая)
Walloon	валлон
wallop	сильный удар
walloper	нечто огромное
walloping	большой
wallow	пыльная полянка или лужа
wallpaper	обои
walnut	грецкий орех
Walpurgis-night	вальпургиева ночь
walrus	морж
Walt	of Walter Уолт
Walter	Уолтер
waltz	вальс
wamble	пошатываться
wampum	ожерелье из раковин (у индейцев)
wampus	неприятный
wan	бледный
wand	прут
wander	бродить
wanderer	странник
wandering	странствие
wanderlust	страсть к путешествиям
wane	убывание
wangle	хитрость
wank	заниматься мастурбацией
wanker	идиот
wannabe	человек
want	недостаток
want-ad	(короткое) объявление (в газете) в отделе спроса и предложения
wantage	нехватка
wanting	нуждающийся
wanton	резвый
wapiti	вапити (олень)
war	война
war-cloud	предвоенная атмосфера
war-cry	боевой клич
war-devastated	разоренный
war-dog	служебная собака
war-game	военная игра
war-head	rocket боевая головка
war-horse	боевой конь
war-lord	верховный глава армии
war-paint	раскраска тела перед походом (у индейцев)
war-path	тропа войны (поход североамериканских индейцев)
war-plane	военный самолет
war-time	военное время
war-whoop	боевой клич
war-worn	опустошенный войной
warble	трель
warbler	певчая птица
ward	опека
warden	начальник
warder	тюремный надзиратель
wardress	тюремная надзирательница
wardrobe	гардероб (шкаф)
wardroom	офицерская кают-компания
wardship	опека
ware	изделия
warehouse	товарный склад
warehouseman	владелец склада
warehousing	хранение на складах
warfare	война
warily	осторожно
wariness	осмотрительность
warlike	воинственный
warlock	волшебник
warm	теплый
warm-blooded	теплокровный
warm-hearted	сердечный
warm-house	теплица
warm-up	разминка
warmed-over	подогретый
warmer	грелка
warming	согревание
warming-pan	грелка (металлическая с углями , для согревания постели)
warming-up	разминка
warmish	тепловатый
warmly	тепло
warmonger	поджигатель войны
warmth	тепло
warn	предупреждать
warning	предупреждение
warp	основа (ткани)
warped	покоробленный
warper	сновальщик
warrant	ордер (на арест и т. п.)
warrant-officer	уорентофицер (промежуточная категория между сержантским и офицерским составом)
warrantable	законный
warrantee	лицо
warrantor	лицо
warranty	основание
warren	участок
warring	противоречивый
warrior	воин
Warsaw	г. Варшава
warship	военный корабль
wart	бородавка
wart-hog	бородавочник
warty	покрытый бородавками
wary	осторожный
was-bird	человек
wash	(a wash) мытье
wash-and-wear	одежда из ткани
wash-basin	(умывальный) таз
wash-board	стиральная доска
wash-boiler	бак для кипячения белья
wash-bowl	таз
wash-day	день стирки
wash-drawing	акварель
wash-hand	умывальный
wash-house	прачечная
wash-leather	замша
wash-out	размыв
wash-room	умывальня
wash-stand	умывальник
wash-tub	лохань для стирки
washable	стирающийся
washcloth	мочалка из махровой ткани
washed-out	полинявший
washer	мойщик
washerwoman	прачка
washiness	водянистость
washing	мытье
washing-machine	стиральная машина
washing-soda	стиральная сода
washing-up	мытье посуды
Washington	Вашингтон (город и штат)
washy	жидкий
WASP	of white anglo-saxon Protestant
wasp	оса
waspish	язвительный
wassail	пирушка
wassailing	святочное хождение из дома в дом с пением рождественских гимнов
wastage	изнашивание
waste	пустыня
waste-paper-basket	корзина для (ненужных) бумаг
waste-pipe	сточная труба
wasteful	расточительный spendthrift
wasteland	пустошь
waster	расточитель
wasting	опустошительный
Wat	of Walter Уот
watch	часы (карманные , наручные)
watch-box	караульная будка
watch-case	корпус часов
watch-chain	цепочка для часов
watch-fire	бивачный костер
watch-glass	стекло для часов
watch-guard	цепочка или шнурок для часов
watch-house	караульное помещение
watch-key	ключ для завода часов
watch-maker	часовщик
watch-maker's	часовая мастерская
watch-night	ночь под Новый год
watch-pocket	карман для часов
watch-spring	часовая пружина
watch-tower	сторожевая башня
watchdog	сторожевой пес
watcher	сторож
watchful	бдительный
watchman	ночной сторож
watchword	пароль
water	вода
water-anchor	плавучий якорь
water-bailiff	инспектор рыбнадзора
water-bearer	водонос
water-bearing	водоносный
water-bed	резиновый матрац
water-bird	водяная птица
water-blister	водяной волдырь
water-borne	перевозимый по воде
water-bottle	графин для воды
water-buffalo	буйвол
water-butt	бочка для дождевой воды
water-can	бидон
water-carriage	водный транспорт
water-carrier	водонос
water-cart	цистерна для поливки улиц
water-closet	уборная
water-colour	обыкн. акварель(ные краски)
water-cooled	с водяным охлаждением
water-craft	судно
water-cure	водолечение
water-dog	бывалый моряк
water-drinker	трезвенник
water-drop	капля воды
water-engine	водоподъемная машина
water-front	порт
water-gas	водяной газ
water-gate	затвор (шлюза)
water-gauge	водомер
water-glass	водомерное стекло
water-hammer	гидравлический удар
water-hen	водяная курочка
water-ice	фруктовое мороженое
water-jacket	водяная рубашка
water-level	уровень воды
water-lily	водяная лилия
water-line	ватерлиния
water-main	водопроводная магистраль
water-meadow	заливной луг
water-melon	арбуз
water-meter	водомер
water-mill	водяная мельница
water-nymph	русалка
water-parting	водораздел
water-pipe	водопроводная труба
water-plant	водоросль
water-point	пункт водоснабжения
water-power	гидроэнергия
water-ram	гидравлический таран
water-rat	водяная крыса
water-rate	плата за воду
water-resistant	водостойкий
water-seal	гидравлический затвор
water-service	водоснабжение
water-shoot	водосточная труба
water-skiing	воднолыжный спорт
water-skin	кожаный мешок или мех для воды
water-skis	водные лыжи
water-softener	средство для смягчения воды
water-soluble	растворимый в воде
water-supply	водоснабжение
water-table	водная поверхность
water-tap	кран
water-tower	водонапорная башня
water-trough	поилка для скота
water-vole	водяная крыса
water-wave	большая волна
water-way	водный путь
water-wheel	водяное колесо
water-wings	спасательный пояс (для начинающих плавать)
waterage	перевозка грузов по воде
watercourse	поток
watercress	кресс водяной
watered	муаровый
waterfall	водопад
Waterford	Уотерфорд (графство в Ирландии)
waterfowl	обыкн. водяные птицы
watering	поливка
watering-place	водопой
waterless	безводный
waterlog	затоплять
waterlogged	полузатопленный
Waterloo	Ватерлоо
waterman	лодочник
watermanship	умение хорошо грести
watermark	водяной знак (на бумаге)
watermelon	арбуз
waterproof	водонепроницаемый
waterscape	морской пейзаж
watershed	водораздел
waterside	берег
waterspout	водяной смерч
watertight	водонепроницаемый
waterworks	водопроводная станция
watery	водяной
watt	ватт
wattage	мощность в ваттах
wattle	сережка (у птиц)
wattled	плетеный
wattless	реактивный
wattmeter	ваттметр
Watty	of Walter Уотти
waul	кричать
wave	волна
wave-length	длина волны
waveband	радиоволны одной длины
waved	волнистый (о волосах)
waveguide	волновод
wavelet	небольшая волна
waver	колебаться (between)
wavering	нерешительность
wavy	волнистый
wax	воск
wax-end	дратва
wax-paper	вощеная бумага
waxcloth	линолеум
waxen	восковой
waxwork	лепка из воска
waxy	восковой
way	путь
way-bill	список пассажиров
way-leave	право перевозки по чужой земле
way-out	необыкновенный
way-station	небольшая промежуточная станция
way-worn	утомленный (о путнике)
wayfarer	путник
wayfaring	странствие
waygoing	прощание
waylay	подстерегать
wayside	придорожная полоса
wayward	своенравный
WB	Weather Bureau бюро погоды WayBill список пассажиров
we	us мы
weak	слабый
weak-eyed	со слабым (или с плохим) зрением	
weak-headed	слабоумный
weak-kneed	слабовольный
weak-spirited	малодушный
weaken	ослаблять
weakling	слабый или слабовольный человек
weakly	хилый
weakness	слабость
weald	поля
wealth	богатство
wealthy	богатый
wean	отнимать от груди
weanling	ребенок
weapon	оружие
weaponless	безоружный
weaponry	вооружение
wearable	обыкн. предмет одежды
wearer	владелец (шляпы , пальто и т. п.)
weariful	скучный
weariless	неутомимый
wearily	утомительно
weariness	усталость
wearing	предназначенный для носки
wearisome	изнурительный
wearproof	износостойкий
weary	утомленный
weasel	ласка
weather	погода
weather-beaten	поврежденный бурями
weather-board	наветренный борт
weather-bound	задержанный непогодой
weather-bureau	бюро погоды
weather-chart	синоптическая карта
weather-cloth	обвес
weather-forecast	прогноз погоды
weather-glass	барометр
weather-proof	защищенный от непогоды
weather-prophet	предсказатель погоды (по местным приметам)
weather-side	наветренная сторона
weather-sign	примета погоды
weather-stained	выцветший
weather-station	метеорологическая станция
weather-wise	умеющий предсказывать погоду
weather-worn	пострадавший от непогоды
weathercock	флюгер
weathered	подвергшийся атмосферным влияниям
weathering	скос или наклон для стока дождевой воды
weatherman	метеоролог
weatherwear	защитная одежда (на случай дождя и т. п.)
weave	ткать
weaver	ткач
web	паутина
webbed	перепончатый
webbing	тканая лента
wed	выдавать замуж
wedded	супружеский
wedding	свадьба
wedding-breakfast	прием гостей после бракосочетания (в любое время дня)
wedding-cake	свадебный пирог
wedding-day	день свадьбы
wedding-dress	подвенечное платье
wedding-favour	бант шафера
wedding-ring	обручальное кольцо
wedge	клин
wedgies	танкетки (обувь)
Wedgwood	веджвуд (фарфор и фаянс англ. фабрики Веджвуд)
wedlock	супружество
Wednesday	среда (день недели)
wee	крошечный
weed	сорная трава
weedkiller	гербицид
weedy	заросший сорняками
week	неделя
week-day	будний день
week-end	время отдыха с пятницы или субботы до понедельника
week-ender	уезжающий отдыхать на время с пятницы или субботы до понедельника
weekly	еженедельник
ween	думать
weep	плакать
weeper	плакса
weeping	проливающий слезы
weepy	сентиментальное произведение
weevil	долгоносик
weevilly	пораженный долгоносиком (о зерне)
weft	уток
weigh	взвешивать(ся)
weigh-in	взвешивание спортсмена перед соревнованиями
weigh-out	взвешивание спортсмена после соревнований
weighbridge	мостовые весы
weigher	весовщик
weighing-machine	весы
weight	вес
weight-lifter	гиревик
weight-lifting	поднятие тяжестей
weighted	утяжеленный
weighting	груз
weightless	невесомый
weightlessness	невесомость
weighty	тяжелый
weir	плотина
weird	судьба
weirdie	чудак
weirdly	удачливый
weirdo	человек со странностями
welcome	приветствие
welcoming	гостеприимный
weld	сварной шов
welder	сварщик
welding	сварка
welkin	небо
well	родник
well-adjusted	уравновешенный (о человеке)
well-advised	благоразумный
well-appointed	хорошо снаряженный
well-armed	хорошо вооруженный
well-balanced	уравновешенный
well-becoming	подходящий
well-behaved	благонравный
well-being	здоровье
well-boring	бурение скважин
well-born	родовитый
well-bred	благовоспитанный
well-brought-up	хорошо воспитанный
well-built	крепкий
well-conducted	воспитанный
well-connected	с большими связями в высшем свете
well-defined	четкий
well-directed	меткий (о выстреле и т. п.)
well-dish	блюдо с углублением для соуса
well-disposed	благожелательный
well-doer	добродетельный человек
well-doing	добрые дела и поступки
well-done	хорошо
well-dressed	хорошо одетый или одевающийся
well-earned	заслуженный
well-educated	образованный
well-established	хорошо обоснованный
well-favoured	красивый
well-fed	откормленный
well-found	хорошо оборудованный
well-groomed	хорошо ухоженный (о лошади)
well-grounded	обоснованный
well-head	источник
well-heeled	богатый
well-informed	хорошо осведомленный
well-intentioned	исполненный благих намерений
well-judged	вовремя
well-kept	содержащийся в порядке
